generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
201000,species1,species3,0,0.0565101,-0.00346869,0.0242255,0
201000,species3,NA,62.5149,0.00230957,0.00650123,0.0290367,0
202000,species1,species3,0,0.0163968,-0.000961606,0.00431412,0
203000,species1,species3,0,0.0228257,-0.00176996,0.0112087,0
203000,species3,NA,277.613,0.0446218,0.00316174,0.0727793,0
204000,species1,species3,0,0.0337808,-0.00346869,0.00937252,0
205000,species1,species3,0,0.0402732,-0.00346869,0.0144397,0
206000,species1,species3,0,0.0139778,-0.000920863,0.00431749,0
207000,species1,species3,0,0.0190443,-0.000920863,0.00383193,0
207000,species26,species67,298.834,0.0308016,-0.000687639,0.0150394,0
207000,species3,NA,272.838,0.00739572,-0.00768645,0.0769846,0
208000,species1,species3,0,0.0188478,-0.000223362,0.00947949,0
209000,species1,species3,0,0.012767,-0.000223362,0.00110292,0
209000,species3,NA,117.661,0.00302226,-0.000918037,0.0222679,0
210000,species1,species3,0,0.0102192,0.000715677,0.00312731,0
211000,species1,species3,0,0.0142591,0.000715677,0.0131533,0
212000,species1,species3,0,0.0119852,0.000715677,0.0093239,0
213000,species1,species3,0,0.0108995,0.00198831,0.00782292,0
214000,species1,species3,0,0.0215075,-0.000710953,0.0146028,0
215000,species1,species3,0,0.0161111,-0.000710953,0.0058872,0
216000,species1,species3,0,0.0123965,-8.71861e-05,0.00586044,0
217000,species1,species3,0,0.0252357,-0.00168098,0.0096404,0
218000,species1,species3,0,0.0111469,-8.71861e-05,0.00358713,0
219000,species1,species3,0,0.0124084,0.000999101,0.00891764,0
220000,species1,species3,0,0.0164296,-0.000930349,0.00429873,0
221000,species1,species3,0,0.0217198,-0.0014227,0.00593195,0
222000,species1,species3,0,0.0195989,-0.00210111,0.00475888,0
223000,species1,species3,0,0.0309836,-0.00210111,0.0177319,0
224000,species1,species3,0,0.0174607,-0.000968166,0.00676254,0
225000,species1,species3,0,0.0228972,-0.00195665,0.00725615,0
225000,species3,NA,253.775,0.097144,-0.00367434,0.122758,0
226000,species1,species3,0,0.0243596,-0.00230654,0.00792599,0
227000,species1,species3,0,0.0256248,-0.00308733,0.00776011,0
228000,species1,species3,0,0.0299925,-0.00271265,0.0127772,0
229000,species1,species3,0,0.0282854,-0.00334027,0.00432812,0
230000,species1,species3,0,0.0316748,-0.00399254,0.00591674,0
231000,species1,species3,0,0.02833,-0.00199681,0.013334,0
232000,species1,species3,0,0.0244946,-0.00246088,0.00654785,0
233000,species1,species3,0,0.0191543,-0.00265938,5.35622e-05,0
233000,species3,NA,229.533,0.00107917,0.00197788,0.0365728,0
234000,species1,species3,0,0.0285582,-0.00265938,0.0105618,0
235000,species1,species3,0,0.0381154,-0.00280109,0.016664,0
236000,species1,species3,0,0.0338726,-0.00324365,0.0113797,0
237000,species1,species3,0,0.049434,-0.00376579,0.0162153,0
